序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201809),净利润(201809),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
38,43,中航善达,中航善达股份有限公司,深圳市,福田区,400886.11,83067.32,19513,1994-09-28,--,,房地产开发,建筑业、房地产、物业、餐饮等服务,物业资产管理业务
39,45,深纺织A,深圳市纺织(集团)股份有限公司,深圳市,福田区,107155.81,1226.88,1335,1994-08-15,--,,显示器件,物业及租赁、纺织品、偏光片、贸易,"以液晶显示用偏光片的研发、生产、营销为代表的高新技术产业,同时还有以地处深圳繁华商业区为主的物业经营管理业务及保留的高档纺织服装业务。"
40,46,泛海控股,泛海控股股份有限公司,北京市,东城区,249203.52,181716.79,10523,1994-09-12,--,,房地产开发,房地产销售、商品销售、物业出租、物业管理、装修工程,金融、房地产、战略投资等业务
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201809),净利润(201809),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
41,48,*ST康达,深圳市康达尔(集团)股份有限公司,深圳市,罗湖区,164042.56,8929.83,1695,1994-11-01,--,,饲料,饲料生产、自来水供应、房地产开发、交通运输、商业贸易、养殖业、物业管理、房屋及土地租赁、金融、工程施工,交通运输、自来水供应，房地产开发、物业管理，肉猪、肉鸡养殖，饲料生产销售
42,49,德赛电池,深圳市德赛电池科技股份有限公司,深圳市,南山区,1169245.62,27452.63,10586,1995-03-20,--,,电池,电池及配件,生产制造电源管理系统及各类锂电池
43,50,深天马A,天马微电子股份有限公司,深圳市,福田区,2173941.67,127507.68,16541,1995-03-15,--,,显示器件,电子元器件,从事液晶显示器及相关材料、设备、产品的设计、制造、销售
44,55,方大集团,方大集团股份有限公司,深圳市,南山区,223530.12,32147.0,2150,1996-04-15,--,,其他建材,金属制造业、轨道交通业、新能源产业、房地产业,生产和经营新型建筑材料。
45,56,皇庭国际,深圳市皇庭国际企业股份有限公司,深圳市,福田区,68506.33,15189.23,736,1996-07-08,--,,物业租赁、物业管理,物业租赁、物业管理、贷款、融资租赁、代建,自有商业地产项目的商业运营管理、商场和住宅项目的物业服务管理
46,58,深赛格,深圳赛格股份有限公司,深圳市,福田区,144464.26,13806.67,2763,1996-12-26,--,,专业市场,电子市场经营及物业出租服务、贸易业、酒店业、电子商务业务、金融业,电子专业市场及配套项目的开发及经营、物业租赁服务业务、IT产品渠道零售终端业务、电子商务和小额贷款增值业务。
47,59,华锦股份,北方华锦化学工业股份有限公司,盘锦市,双台子区,2536993.07,105911.69,10233,1997-01-30,--,,石油加工,石化板块产品、化肥板块产品,石油化工产品、化学肥料的生产与销售。
48,60,中金岭南,深圳市中金岭南有色金属股份有限公司,深圳市,福田区,1697087.11,76974.28,9685,1997-01-23,--,,铅锌,精矿产品、冶炼产品、铝型材、幕墙门窗、电池材料、商品房销售、有色金属贸易业务,有色金属矿产品、冶炼产品、深加工产品、综合利用产品及电池材料、铝型材、幕墙工程、出租车营运、房地产开发等
49,61,农产品,深圳市农产品股份有限公司,深圳市,罗湖区,169881.76,4723.41,5036,1997-01-10,--,,专业市场,农产品批发市场经营、农产品加工生产、市场配套服务,农产品批发市场的开发、建设、经营和管理，大宗农产品电子交易和蔬菜种植等。
50,62,深圳华强,深圳华强实业股份有限公司,深圳市,福田区,821927.12,51896.83,1832,1997-01-30,--,,专业市场,电子元器件线下分销分部、电子元器件线上交易平台分部、电子元器件及终端产品线下交易平台分部、终端产品线上分销分部,面向电子信息产业链的现代高端服务业，为产业链上的各环节提供网上网下交易服务、产品服务和交易信息服务。
51,63,中兴通讯,中兴通讯股份有限公司,深圳市,南山区,5876618.6,-725972.3,74773,1997-11-18,--,,通信传输设备,运营商网络、消费者业务、政企业务,设计、开发、生产、分销及安装各种先进的ICT领域系统、设备和终端
52,65,北方国际,北方国际合作股份有限公司,北京市,丰台区,652142.16,44138.02,2001,1998-06-05,--,,专业工程,国际工程承包、国内建筑工程、房地产销售、货物贸易、货运代理、金属包装容器,承包境外工程及境内国际招标工程、房地产开发业务。
53,66,中国长城,中国长城科技集团股份有限公司,深圳市,南山区,627052.46,20799.61,13829,1997-06-26,--,,PC、服务器及硬件,高新电子、信息安全整机及解决方案、电源产品、园区及物业服务,计算机及相关设备制造，高新电子业务，涉及军事通信、卫星与定位导航、海洋信息安全产业及军用自主可控计算机及网络等领域。
54,68,华控赛格,深圳华控赛格股份有限公司,深圳市,宝安区,13574.62,-4847.04,555,1997-06-11,--,,环保材料,环保设备及材料、技术咨询规划服务、电子元器件、仓租服务业,节能环保和新材料
55,69,华侨城A,深圳华侨城股份有限公司,深圳市,南山区,2455030.56,509020.53,25130,1997-09-10,--,,景区,旅游综合业务、房地产、纸包装,主题公园、酒店服务、房地产开发、纸包装等
56,70,特发信息,深圳市特发信息股份有限公司,深圳市,南山区,402682.56,16427.68,4916,2000-05-11,--,,通信传输设备,通信及相关设备制造、物业租赁,光纤、光缆、通信设备的生产和销售
57,78,海王生物,深圳市海王生物工程股份有限公司,深圳市,南山区,2782378.99,43188.78,9262,1998-12-18,--,,医药商业,生物制药、医药、保健品、食品,生物制品、生化制品、海洋药物、海洋生物制品、中成药的生产销售
58,88,盐田港,深圳市盐田港股份有限公司,深圳市,盐田区,29264.9,29820.2,714,1997-07-28,--,,港口,高速公路收费、港口货物装卸运输、仓储及其他服务,投资港口货物装卸与运输业务，码头建设工程管理，收费高速公路、桥梁运营，海关监管仓和其他港口配套仓储经营。
59,89,深圳机场,深圳市机场股份有限公司,深圳市,宝安区,266313.45,57608.93,5444,1998-04-20,--,,机场,航空主业、航空增值、航空物流、航空广告,航空客货运输地面服务、郊区公路客货运输、航空客货物流代理业务等劳务。
60,90,天健集团,深圳市天健(集团)股份有限公司,深圳市,福田区,464263.5,17452.96,5978,1999-07-21,--,,专业工程,建筑施工、房地产销售、物业租赁,提供商品住宅的开发及销售、工程施工劳务、物业租赁服务、物业管理服务、商业运营及服务。
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201809),净利润(201809),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
61,96,广聚能源,深圳市广聚能源股份有限公司,深圳市,南山区,124792.97,9610.76,398,2000-07-24,--,,石油天然气贸易,成品油、液体化工仓储、危化品贸易,从事油品、液化石油气销售、液体化工品仓储及电力投资
62,99,中信海直,中信海洋直升机股份有限公司,深圳市,罗湖区,98898.6,8800.7,1095,2000-07-31,--,,航空,通航运输、通航维修,通用航空飞行服务和维修服务
63,100,TCL集团,TCL集团股份有限公司,惠州市,惠城区,8223714.49,248966.15,75059,2004-01-30,--,,电视机,多媒体电子、移动通讯、家电,从事研究、开发、生产、销售电子产品及通讯设备、新型光电、液晶显示器件，五金交电，VCD、DVD视盘机，家庭影院系统，电子计算机及配件，电池，数字卫星电视接收机，建筑材料，普通机械。
64,150,宜华健康,宜华健康医疗股份有限公司,汕头市,澄海区,167407.73,20571.75,18022,2000-08-07,--,,医疗服务,房地产销售、医疗版块、养老版块,健康医疗服务
65,151,中成股份,中成进出口股份有限公司,北京市,丰台区,87568.15,6600.1,393,2000-09-06,--,,贸易,成套设备出口和工程承包、一般贸易、境外实业经营,成套设备与技术进出口、一般贸易和境外经营。
66,153,丰原药业,安徽丰原药业股份有限公司,芜湖市,无为县,223121.86,5643.51,4571,2000-09-20,--,,化学制剂,药品生产制造、药品零售流通,生物药、中药、化学合成药及其制剂等方面的研究、开发、生产和销售。
67,155,川能动力,川化股份有限公司,成都市,青白江区,290080.48,-1549.21,188,2000-09-26,--,,氮肥,化工产品贸易、电力销售、化肥行业及化学制品制造业,从事合成氨、尿素、三聚氰胺、硝酸铵、氮磷复合肥、硫酸、硝酸、硫酸钾、过氧化氢、液体二氧化碳、催化剂等化肥、化工产品的生产和销售，风力发电、光伏发电
68,156,华数传媒,华数传媒控股股份有限公司,杭州市,滨江区,239930.82,48268.82,4937,2000-09-06,--,,有线电视,信息传播,杭州地区有线电视网络运营和面向全国的互动电视、手机电视、互联网电视、互联网视频、广告等传媒信息服务业
69,157,中联重科,中联重科股份有限公司,长沙市,岳麓区,2103513.66,130288.98,13461,2000-10-12,--,,工程机械,混凝土机械、起重机械、环境产业、农业机械、金融服务,混凝土机械、起重机械、路面机械、环卫机械等产品及配套件的开发、生产、销售和租赁。
70,158,常山北明,石家庄常山北明科技股份有限公司,石家庄市,长安区,555206.68,3972.04,5054,2000-07-24,--,,棉纺,纺织业、软件和信息技术服务业,纯棉纱布和涤棉纱布的生产销售；自产产品和技术的进出口业务；棉花批发、零售；软件和信息技术服务业
71,159,国际实业,新疆国际实业股份有限公司,乌鲁木齐市,新市区,48074.38,2683.39,400,2000-09-26,--,,石油天然气贸易,油品销售、房地产销售,油品批发、零售、仓储、运输；能源贸易；房地产开发与销售。
72,166,申万宏源,申万宏源集团股份有限公司,乌鲁木齐市,天山区,936637.57,331148.04,13887,2015-01-26,--,,证券,证券及期货经纪业务、证券自营及其他投资业务、证券承销及保荐业务、资产及基金管理业务、信用业务、境外业务,金融投资、股权投资等
73,301,东方盛虹,江苏吴江中国东方丝绸市场股份有限公司,苏州市,吴江区,1339864.53,65027.74,573,2000-05-29,--,,火电,电力、热能、营业房出租、房地产开发、广告业务、BT项目管理、平台贸易,房地产开发、营业房出租、热电、石油、天然气。
74,333,美的集团,美的集团股份有限公司,佛山市,顺德区,20575665.3,1790023.9,101826,2013-09-18,--,,空调、小家电,制造业,以家电产业为主，涉足电机、物流等领域，旗下分为四大业务板块，分别为大家电、小家电、电机及物流
75,338,潍柴动力,潍柴动力股份有限公司,潍坊市,奎文区,11818246.13,600129.14,41402,2007-04-30,--,,汽车零部件,整车及关键零部件、仓库技术及供应链解决方案服务,研究、生产及销售发动机及其零部件、重型汽车、重型汽车车桥、变速箱及其他汽车零部件等业务
76,400,许继电气,许继电气股份有限公司,许昌市,魏都区,415954.7,15540.23,5662,1997-04-18,--,,电气自控设备,特高压、智能电网、新能源、电动汽车充换电、轨道交通、工业智能化,从事电力系统二次设备和一次设备的研制、销售
77,401,冀东水泥,唐山冀东水泥股份有限公司,唐山市,丰润区,2211862.51,141459.51,14224,1996-06-14,--,,水泥,水泥熟料、各类硅酸盐水泥、与水泥相关的建材,生产和销售水泥、熟料以及石灰石开采和销售
78,402,金融街,金融街控股股份有限公司,北京市,西城区,868967.92,104090.83,3415,1996-06-26,--,,房地产开发,房产开发、物业租赁、物业经营,房地产开发和经营
79,403,振兴生化,振兴生化股份有限公司,太原市,小店区,63371.46,8038.81,1111,1996-06-28,--,,生物医药,血液制品、膏药、敷料,生产和销售血液制品
80,404,长虹华意,长虹华意压缩机股份有限公司,景德镇市,昌江区,675756.64,6268.18,6441,1996-06-19,--,,压缩机,通用设备制造,冰箱压缩机及商用压缩机的研发、生产和销售
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201809),净利润(201809),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
81,407,胜利股份,山东胜利股份有限公司,济南市,历下区,314980.96,9035.59,1481,1996-07-03,--,,燃气,天然气业务、天然气管道制造业、成品油贸易业务,天然气、生物、农化、塑胶等产业组成
82,408,藏格控股,藏格控股股份有限公司,海西蒙古族藏族自治州,格尔木市,183462.45,75334.06,1776,1996-06-28,--,,钾肥,钾肥(氯化钾),钾肥(氯化钾)的生产和销售。
83,409,*ST地矿,山东地矿股份有限公司,济南市,历城区,96792.61,5145.79,1887,1996-06-27,--,,综合,铁矿石采选、黄金采选、生物制药、特种轮胎、房地产、中药材加工零售、油品加工贸易,矿石的开采、加工及矿产品销售
84,410,沈阳机床,沈阳机床股份有限公司,沈阳市,于洪区,420506.09,-17534.18,11877,1996-07-18,--,,机床设备,机床、机床配套,金属切削机床制造
85,411,英特集团,浙江英特集团股份有限公司,杭州市,下城区,1526625.27,7485.33,2432,1996-07-16,--,,医药商业,药品、中药材、医疗器械,主要从事药品及医疗器械批发业务
86,413,东旭光电,东旭光电科技股份有限公司,石家庄市,石家庄市,1726356.78,131515.76,7931,1996-09-25,--,,显示器件,光电显示材料、装备及技术服务、新能源汽车、石墨烯产业化应用、建筑安装、电子通讯产品,电真空玻璃器件及其配套电子元器件的生产与销售和平板显示玻璃基板及其装备的研发、生产与销售等
87,415,渤海租赁,渤海金控投资股份有限公司,乌鲁木齐市,沙依巴克区,2936832.8,243557.5,800,1996-07-16,--,,其他非银行金融,融资租赁、融资租赁咨询、经营租赁、集装箱租赁,融资租赁和经营性租赁
88,416,民生控股,民生控股股份有限公司,青岛市,崂山区,749.75,1573.34,63,1996-07-19,--,,其他非银行金融,典当、保险经纪、投资与资产管理、商品零售,典当、财富管理及保险经纪
89,417,合肥百货,合肥百货大楼集团股份有限公司,合肥市,庐阳区,788316.91,17158.56,9248,1996-08-12,--,,百货,百货业（含家电）、超市业、农产品交易市场、房地产,百货零售业、农产品交易市场两大类业务
90,418,小天鹅A,无锡小天鹅股份有限公司,无锡市,无锡市,1741685.87,134706.7,9890,1997-03-28,--,,洗衣机,家用电器,家用洗衣机的研发、生产和销售
91,419,通程控股,长沙通程控股股份有限公司,长沙市,雨花区,277163.94,11019.93,3860,1996-08-16,--,,百货,商贸零售、酒店旅游,商业零售业、典当业及旅游酒店业
92,420,吉林化纤,吉林化纤股份有限公司,吉林市,昌邑区,194486.74,12800.22,4664,1996-08-02,--,,粘胶纤维,化纤、醋酐,从事粘胶纤维的生产、研发和销售
93,421,南京公用,南京公用发展股份有限公司,南京市,建邺区,242723.38,11902.79,2871,1996-08-06,--,,燃气,客运业务、燃气业务、房地产业务,客运业务、燃气业务及房地产业务
94,422,*ST宜化,湖北宜化化工股份有限公司,宜昌市,猇亭区,1016266.89,33463.13,9871,1996-08-15,--,,氮肥,化肥产品、化工产品,化肥及化工产品的制造和销售。
95,423,东阿阿胶,东阿阿胶股份有限公司,聊城市,东阿县,438428.54,122507.69,4817,1996-07-29,--,,中药生产,阿胶系列、医药贸易,从事阿胶及阿胶系列产品的研发、生产和销售业务
96,425,徐工机械,徐工集团工程机械股份有限公司,徐州市,鼓楼区,3407585.65,150790.14,13620,1996-08-28,--,,工程机械,工程机械,主要从事工程起重机械、铲运机械、压实机械、混凝土机械、路面机械、消防机械、其他工程机械及工程机械备件的研发、制造和销售。
97,426,兴业矿业,内蒙古兴业矿业股份有限公司,赤峰市,松山区,178478.89,56715.18,315,1996-08-28,--,,铅锌,锌精粉、铁精粉、铅精粉、电解铜、铜精粉、粗铅、铅锭,有色金属采选及冶炼
98,428,华天酒店,华天酒店集团股份有限公司,长沙市,芙蓉区,70543.24,-20551.77,5197,1996-08-08,--,,酒店,酒店业、房地产业、酒店资产运营,住宿、餐饮。
99,429,粤高速A,广东省高速公路发展股份有限公司,广州市,越秀区,238663.39,122030.52,2191,1998-02-20,--,,高速公路,公路运输,广佛高速公路和佛开高速公路的收费和养护工作，投资科技产业及提供相关咨询
100,430,张家界,张家界旅游集团股份有限公司,张家界市,永定区,36593.2,5476.96,1170,1996-08-29,--,,景区,旅行社服务、环保客运服务、观光电车、宝峰湖景区、周洛景区、杨家界索道、张国际酒店、广告代理、房屋租赁,旅游项目经营；旅游客运；旅行社经营；其他：酒店经营、房屋租赁、广告代理等
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201809),净利润(201809),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
101,488,晨鸣纸业,山东晨鸣纸业集团股份有限公司,潍坊市,寿光市,2349276.88,248115.78,13579,2000-11-20,--,,造纸,机制纸、融资租赁、电力及热力、建筑材料、化工用品、酒店,机制纸及板纸和造纸原料、造纸机械、电力、热力的生产与销售
102,498,山东路桥,山东高速路桥集团股份有限公司,济南市,市中区,1036996.95,35128.22,8445,1997-06-09,--,,路桥建设,建筑、租赁、商品混凝土加工、设计咨询,路桥工程施工与养护施工
103,501,鄂武商A,武汉武商集团股份有限公司,武汉市,江汉区,1293483.14,78266.76,11482,1992-11-20,--,,百货,商品销售,商业零售及批发业务
104,502,绿景控股,绿景控股股份有限公司,广州市,海珠区,1313.34,4198.66,192,1992-11-23,--,,房地产开发,房地产业、医疗行业,从事房地产开发及物业管理业务
105,503,国新健康,国新健康保障服务集团股份有限公司,海口市,龙华区,4662.44,-11327.29,1167,1992-11-30,--,,电子商务B2B,大健康服务,医药电子商务、医疗福利管理等
106,504,南华生物,南华生物医药股份有限公司,长沙市,天心区,5578.50,-2301.01,143,1992-12-08,--,,节能环保,节能技术服务行业、生物医药行业、传媒行业,媒体业务；生物资源、干细胞和免疫细胞储存，生命科学技术、组织工程技术及其他生物技术研发业务
107,505,京粮控股,海南京粮控股股份有限公司,海口市,龙华区,553943.20,10226.44,2968,1992-12-21,--,,房地产开发,油脂、粮食贸易、食品加工、房地产,植物油加工及食品制造。
108,506,中润资源,中润资源投资股份有限公司,济南市,历下区,30209.18,889.13,1650,1993-03-12,--,,黄金,房地产、黄金,矿业投资与房地产开发
109,507,珠海港,珠海港股份有限公司,珠海市,珠海市,171665.37,14323.11,2102,1993-03-26,--,,港口,港口物流、综合能源、港城建设,港口及其配套设施的项目投资；电力项目投资；玻璃纤维制品项目投资；饮料项目投资；化工原料及化工产品项目投资。
110,509,华塑控股,华塑控股股份有限公司,南充市,顺庆区,119301.69,-830.92,70,1993-05-07,--,,其他建材,塑料建材、园林,建材加工，门窗安装，园林工程
111,510,金路集团,四川金路集团股份有限公司,德阳市,旌阳区,162240.43,8444.47,2537,1993-05-07,--,,氯碱,PVC树脂和烧碱,从事PCV树脂和烧碱的生产与销售
112,511,烯碳退,银基烯碳新材料集团股份有限公司,沈阳市,沈河区,--,--,179,1993-05-18,--,,非金属新材料,贸易类、房地产、生产类、技术平台开发类,"石墨类产品、石墨烯及纳米碳、碳素类产品、耐火材料、活性碳类产品、烯碳新材料、稀土碳基复合材料、矿产品、金属和非金属材料销售(不含危险化学品),烯碳新材料技术开发和技术转让,城市基础设施投资等。"
113,513,丽珠集团,丽珠医药集团股份有限公司,珠海市,金湾区,684143.59,94010.47,7219,1993-10-28,--,,化学制剂,制剂、原料药、中间体及诊断试剂,研究、开发、生产和销售医药产品。
114,514,渝开发,重庆渝开发股份有限公司,重庆市,渝中区,38956.21,1175.92,701,1993-07-12,--,,房地产开发,住宅销售、商业销售、物业管理、房屋租赁、会议展览、石黄隧道经营权,主要从事房地产开发、房屋销售及租赁、物业管理、会展经营、酒店经营管理、市政工程代理。
115,516,国际医学,西安国际医学投资股份有限公司,西安市,碑林区,181617.21,223183.71,3724,1993-08-09,--,,百货,零售业、医疗业,大健康医疗服务和现代医学技术转化应用
116,517,荣安地产,荣安地产股份有限公司,宁波市,海曙区,232455.16,40733.46,1182,1993-08-06,--,,房地产开发,房地产销售、物业管理、房屋租赁,从事房地产开发、经营；物业服务；建设工程承包等
117,518,四环生物,江苏四环生物股份有限公司,无锡市,江阴市,28141.10,-939.21,280,1993-09-08,--,,生物医药,药品、保健品、花卉、林木（不含种子木苗）,药品、保健品的研发、生产和销售
118,519,中兵红箭,中兵红箭股份有限公司,湘潭市,湘潭市,307924.27,26167.69,8838,1993-10-08,--,,超硬材料,超硬材料及其制品、特种装备、改装汽车、汽车零部件,超硬材料及其制品和内燃机配件的研发、生产、销售
119,520,长航凤凰,长航凤凰股份有限公司,武汉市,江汉区,64521.00,5986.04,460,1993-10-25,--,,航运,干散货运输、船员派遣服务、资产出租,从事干货运输
